Country Name,Indicator Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,0.983640015,0.965020001,0.990239978,0.971769989,0.964439988,1.039039969,,0.974340022,0.990040004,,0.979359984,0.97924,,,
Australia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.019989967,,,,,,,,,,,,,,,,,,0.925260007,0.925170004,0.937539995,0.968850017,0.964070022,0.979290009,
Austria,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.965650022,0.961279988,0.966949999,0.969690025,0.969579995,0.964429975,0.963419974,0.963039994,0.966250002,0.969860017,0.968810022,0.965600014,0.965240002,0.968720019,0.970080018,0.971570015,0.972970009,0.97232002,0.972829998,0.971989989,0.971729994,0.97408998,0.980939984,0.98593998,
Azerbaijan,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.030290008,,,,,,,,,,,,,,,,,,,,,1.002619982,1.010730028,1.005149961,0.993879974
Burundi,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,0.797299981,0.818379998,0.837559998,0.884220004,0.898490012,,0.926129997,0.938820004,0.954140007,0.96371001,0.972280025,0.992950022,1.004040003,1.013820052,1.021489978,1.03429997,1.042940021,1.057250023,
Belgium,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,1.041759968,1.057279944,1.063420057,1.068310022,1.057520032,1.056550026,1.069919944,1.074749947,1.079810023,1.087859988,1.089609981,1.083389997,1.081900001,1.082520008,1.082190037,1.079849958,1.080549955,1.069659948,1.070240021,1.07336998,1.079130054,1.08149004,
Benin,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.61461997,0.633329988,0.646290004,0.661450028,0.673150003,0.694509983,,,,,,,0.809689999,,0.834890008,0.847899973,0.859269977,0.877080023,,,,0.890009999,0.897289991
Burkina Faso,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.684109986,0.700230002,0.712759972,,0.737219989,0.766600013,0.782329977,0.799489975,0.817929983,0.839980006,0.856069982,0.877110004,0.893410027,0.914619982,0.936890006,0.948300004,0.960349977,0.971310019,0.982140005,0.98913002,1.006510019,1.024809957,1.043991327
Bangladesh,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,1.05332005,1.055780053,1.064299941,1.085389972,1.059589982,1.079146981,1.064528942,,,,,,1.10079968,1.103870988,,1.145879984,1.135454297
Bulgaria,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.990040004,0.981289983,0.979120016,0.976970017,0.977280021,0.978349984,0.978460014,0.96894002,0.967949986,0.968990028,0.96904999,0.977050006,0.976559997,0.970260024,0.966310024,0.969579995,0.966939986,0.974600017,0.975459993,0.976230025,0.980499983,0.976819992,0.985469997,0.983699977,
Bahrain,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.025159955,1.024639964,1.024600029,1.029690027,1.05332005,1.065840006,1.071040034,1.06941998,1.069129944,1.07209003,,,,,0.998660028,1.013329983,1.014459968,1.009189963,1.002130032,1.014940023,1.013990045,1.021550059,1.037700057,,
"Bahamas, The","School enrollment, primary and secondary (gross), gender parity index (GPI)",1.109140038,,0.975399971,,,1.016109943,,0.981630027,0.979839981,0.980809987,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.009989977,,,,,,,,,,0.977240026,0.97645998,0.977400005,0.977490008,0.97657001,0.984350026,0.988839984,0.991069973,0.99101001,0.988579988,0.990570009,0.992380023,0.991100013,0.992770016
Belize,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.995010018,0.984929979,0.990159988,,0.997969985,1.003250003,0.983900011,0.994379997,1.006839991,0.999750018,1.000800014,1.004420042,0.997409999,0.990230024,0.989560008,0.990170002,0.982169986,0.977970004,0.992389977,0.987559974,0.98872,0.990760028,0.988839984
Bermuda,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,1.039139986,1.061550021,1.080979943,1.111610055,1.090129972,1.082610011,,,,,1.073340058,1.060559988,1.066409945,1.053040028,1.048499942,,,,,,
Bolivia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.965279996,0.968089998,0.965309978,0.967830002,0.970149994,0.973890007,0.97706002,0.981779993,0.986079991,0.989629984,0.990760028,0.992380023,0.994979978,0.997250021,0.991159976,0.986109972,0.983799994,0.982349992,0.982200027,0.983070016,0.984809995,0.988470018,0.994159997,
Brazil,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,1.012959957,1.035449982,1.033529997,1.028849959,,1.043990016,1.038730025,1.044160008,,1.024670005,1.022240043,1.016649961,1.018110037,1.01473999,1.008540034,1.005130053,1.006680012,1.009909987,1.006489992,
Barbados,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,1.015509963,1.006950021,0.99533999,0.995400012,0.994340003,0.992079973,0.993229985,1.000219941,1.009359956,1.011919975,1.01086998,1.010689974,1.018000007,,,1.016250014,1.013700008,1.022210002,1.002079964,0.999639988,0.998679996,1.000079989,0.998489976
Brunei Darussalam,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.985050023,0.981339991,0.982150018,0.977370024,0.973049998,0.978869975,0.972670019,0.972459972,0.978129983,0.982819974,0.987770021,0.993290007,1.001099944,0.998149991,1.009549975,1.019090056,1.010169983,0.998702049,1.014199972,1.014960051,1.01620996,1.021440029,1.018730044,
Bhutan,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.82099998,0.837750018,0.857159972,0.881630003,,,,0.960030019,0.976939976,0.984350026,0.999170005,1.020990014,1.029000044,1.032220006,1.037469983,1.038370013,1.04076004,1.035249949,1.048089981,1.049270034,1.058220029,,,
Botswana,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.019559979,1.018929958,1.018190026,1.012609959,1.010769963,1.010720015,1.003489971,1.000910044,1.005169988,1.003569961,1.015820026,,,,,,,,,,,,,1.022549987
Central African Republic,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,0.671679974,,,,,,,,0.698159993,,0.705900013,0.714169979,,,,0.760950029,0.743736446,,,,
Canada,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.996439993,1.009420037,1.010570049,,,,,0.984269977,0.985819995,0.985909998,0.986320019,0.987969995,0.989539981,0.992229998,1.003679991,1.006389976,1.008569956,1.00838995,1.008180022,1.005460024,1.003329992,1.001510024,1.002589941,
Central Europe and the Baltics,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.001970053,1.001399994,0.999960005,0.997370005,0.996169984,0.994180024,0.991209984,1.00150001,0.997510016,0.995720029,0.995220006,0.995190024,0.995989978,0.993990004,0.991680026,0.992500007,0.988510013,0.989780009,0.99217999,0.992349982,0.994120002,0.99247998,0.993189991,0.993629992,
Switzerland,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.956250012,0.960879982,0.967230022,0.974749982,0.971790016,0.969969988,0.964699984,0.966939986,0.967320025,0.969760001,0.972180009,0.975220025,0.981530011,0.983799994,0.983169973,0.985319972,,0.979340017,0.976130009,0.973230004,0.970459998,0.968580008,0.968540013,
Channel Islands,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.999539971,0.999559999,0.995980024,,0.994989991,0.992900014,0.982309997,0.983070016,0.986660004,0.98672998,0.985719979,0.988659978,1.000429988,0.998640001,1.000579953,0.989639997,0.989369988,0.988600016,0.98852998,0.987600029,0.985650003,0.982060015,0.979330003,
China,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.935779989,,,,0.964619994,,,,,0.98803997,0.991550028,0.996969998,1.003350019,0.988950014,0.992420018,0.997179985,1.006090045,1.00948,1.01157999,1.010139942,1.013219953,1.014310002,1.015290022,1.012869954,1.011610031
Cote d'Ivoire,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.690389991,,,,,,,,,,,,0.779177785,,0.79489702,0.807550013,0.818220019,0.833500028,0.85066998,0.867879987,0.884140015,0.898069978,0.915130019
Cameroon,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.855059981,0.806869984,0.826870024,,0.853860021,0.80072999,0.848169982,0.841090024,0.826460004,0.828119993,0.837960005,0.842559993,0.856209993,,0.86135,0.869220018,,0.876999974,0.883459985,0.885640025,0.889527857,0.889680445,,,
"Congo, Dem. Rep.","School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,0.739859998,0.76394999,0.77433002,0.787819982,0.788980007,0.801110029,0.827769995,0.828859985,0.889490008,,,,,,
"Congo, Rep.","School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,0.882629991,0.858039975,0.908410013,,,,,,,,1.003340006,,,,,,0.95229733,,,
Colombia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.027089953,1.043149948,1.038570046,,1.038010001,,1.040390015,1.036769986,1.044319987,1.047899961,1.04508996,1.04764998,1.039669991,1.028270006,1.028079987,1.028339982,1.024369955,1.021569967,1.019840002,1.014070034,1.013210058,1.011049986,1.006790042,
Comoros,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.844799995,,,0.828880012,0.826889992,0.848070025,,,,,,,,,0.975329995,0.979789972,,,0.993130028,1.022899985,,,
Cabo Verde,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,1.008839965,1.002519965,1.010439992,1.01335001,1.020499945,1.048939943,1.051110029,1.01504004,1.037770033,1.039819956,1.030910015,1.036640048,1.029049993,1.019909978,1.014520049,1.010139942,1.007290006,1.006999969,1.005689979,,
Costa Rica,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.013080001,1.009340048,1.005980015,1.000609994,1.008520007,0.999319971,,1.001000047,1.000640035,1.005169988,1.002339959,1.00672996,1.008069992,1.007349968,1.008419991,1.010069966,1.021389961,1.022119999,1.016720057,1.029410005,1.041030049,1.041360021,1.041319966,1.051570058,
Caribbean small states,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.018079996,1.012279987,1.011440039,1.011229992,1.009389997,1.020900011,1.019050002,1.017740011,1.020580053,1.022609949,1.022210002,1.020300031,1.010890007,1.022930026,1.025410056,1.027860045,1.019799948,1.022390008,1.03471005,1.017950058,1.019279957,1.01075995,1.013219953,1.015450001,
Cuba,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.016000032,,0.995000005,0.988499999,0.993399978,0.971939981,0.971340001,0.989419997,0.994029999,0.999710023,0.992500007,0.991890013,0.992110014,0.989660025,0.98980999,0.997210026,0.992250025,0.982819974,0.985199988,0.991129994,0.98496002,0.986819983,0.988439977,0.988740027,1.002460003
Curacao,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,1.002519965,,,,,,,1.082039952,
Cayman Islands,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.91839999,0.997879982,0.96371001,1.004870057,,1.000090003,0.944350004,0.960039973,0.971099973,1.009199977,,,1.006299973,1.011029959,1.019299984,,,,,0.987959981,,,
Cyprus,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.011710048,,1.012959957,1.011980057,1.005839944,1.011540055,1.010329962,1.011489987,1.009080052,1.007419944,1.006119967,1.000650048,1.001860023,1.006170034,1.004349947,1.008550048,1.003299952,1.004459977,0.996190012,0.994809985,0.992799997,0.983219981,0.981190026,0.981880009,
Czechia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.021499991,1.028349996,1.023219943,1.010720015,1.017269969,1.014299989,1.012599945,1.005470037,1.007230043,1.00880003,1.007050037,1.006340027,1.006459951,1.002349973,0.999260008,1.000869989,1.004639983,1.00285995,1.007060051,1.007210016,1.006489992,1.004989982,1.007619977,1.006970048,
Germany,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.976909995,0.976279974,0.978969991,0.982500017,0.983269989,0.982129991,0.980069995,0.980449975,0.980390012,0.978070021,0.980080009,0.978049994,0.960330009,0.961250007,0.960009992,0.961369991,0.964460015,0.965309978,0.966109991,0.963729978,0.957650006,0.960990012,0.965369999,0.970099986,
Djibouti,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.738460004,,0.71912998,0.715020001,0.711279988,0.717509985,,0.750240028,0.755869985,0.764829993,0.820469975,0.854839981,0.906270027,,1.009320021,0.992999971,0.983290017,1.00177002,1.005810022,1.013970017,1.025500059,1.014449954,1.020020008,1.002869964,0.972949982
Dominica,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,1.131590009,1.060449958,1.045160055,1.051800013,1.058349967,1.038249969,1.036489964,1.025869966,1.021890044,1.00522995,1.038110018,1.032619953,1.029189944,,,0.995760024,0.986060023,,,,0.991909981,0.971989989,0.969980001
Denmark,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.023390055,1.029099941,1.023859978,1.027119994,1.026569963,,1.024430037,1.018859982,1.018069983,1.017050028,1.018110037,1.012380004,1.005749941,1.005579948,1.002449989,1.00909996,1.016890049,1.018450022,1.009670019,1.002879977,0.999819994,0.995649993,0.996890008,
Dominican Republic,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.043779969,1.047600031,1.040570021,,1.070870042,,1.025969982,1.036069989,,1.034819961,1.028370023,0.964269996,0.972350001,0.989489973,0.986469984,0.988099992,0.985199988,0.98536998,0.990230024,0.99357003,0.997340024,1.005259991,1.008949995,1.02252996
Algeria,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.918340027,,0.948920012,0.964209974,0.974020004,0.98010999,0.990549982,0.995850027,0.999260008,1.00127995,1.00127995,0.986199975,0.979049981,0.993629992,0.994899988,,,,,,,,,,
East Asia & Pacific (excluding high income),"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.94344002,0.950129986,0.959249973,0.964230001,0.968060017,0.969099998,0.971310019,0.978619993,0.982379973,0.987020016,0.988799989,0.99289,0.996609986,0.99357003,0.996550024,0.998260021,0.999220014,1.002810001,1.002079964,1.005470037,1.006489992,1.008520007,1.00861001,1.007019997,
Early-demographic dividend,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.851930022,0.861259997,0.873250008,0.87875998,0.88628,0.896480024,0.932969987,0.934909999,0.941799998,0.948270023,0.956110001,0.968879998,0.980130017,0.984899998,0.989929974,0.991890013,1.017699957,1.018669963,1.019230008,1.031100035,1.027340055,1.002750039,1.005010009,1.001109958,
East Asia & Pacific,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.949639976,0.955470026,0.96359998,0.968060017,0.971570015,0.972500026,0.974470019,0.980960011,0.984350026,0.988479972,0.989960015,0.99368,0.996980011,0.994090021,0.996749997,0.998239994,0.999010026,1.002230048,1.001430035,1.004570007,1.005669951,1.007959962,1.007949948,1.006639957,
Europe & Central Asia (excluding high income),"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.970910013,0.96588999,0.962189972,0.964060009,0.959219992,0.957849979,0.954779983,0.959219992,0.961430013,0.966489971,0.968599975,0.973119974,0.979480028,0.978779972,0.978500009,0.98338002,0.986819983,0.988210022,0.988839984,0.989719987,0.982670009,0.985979974,0.984489977,0.98615998,
Europe & Central Asia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.987039983,0.985090017,0.983879983,0.984290004,0.982540011,0.980880022,0.980090022,0.982469976,0.982840002,0.984600008,0.985570014,0.987200022,0.988430023,0.987389982,0.987039983,0.988919973,0.994750023,0.995440006,0.995389998,0.995769978,0.990859985,0.992600024,0.992519975,0.994390011,
Ecuador,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.014179945,1.011500001,1.005749941,1.01030004,1.004860044,1.007850051,1.002279997,1.004590034,1.005679965,1.006649971,,1.026780009,1.021450043,1.023509979,1.028079987,1.023949981,1.022670031,1.022459984,1.02094996,1.019950032,1.021919966,1.024019957,1.022969961,
"Egypt, Arab Rep.","School enrollment, primary and secondary (gross), gender parity index (GPI)",0.876820028,,0.923099995,0.93283999,0.941929996,,0.950519979,0.95747,,,,,0.976069987,0.97122997,0.968879998,0.985279977,0.985740006,0.996010005,,0.993189991,0.994140029,0.996510029,1.000650048,,
Euro area,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.999180019,0.997730017,0.99891001,0.997969985,0.999719977,0.99703002,0.997669995,0.998939991,0.997940004,0.996379972,0.99763,0.997380018,0.993390024,0.992529988,0.991659999,0.99168998,0.995249987,0.995880008,0.995779991,0.996739984,0.992990017,0.995019972,0.997009993,0.999379992,
Eritrea,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.796609998,,0.787909985,0.784210026,0.789290011,0.753889978,0.758149981,0.717540026,0.727840006,0.730620027,0.78798002,0.781939983,0.782760024,0.809469998,0.814059973,0.818639994,0.936249971,0.836189985,0.855459988,,0.874779999,0.878799975,0.884019017,,
Spain,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.031309962,1.035760045,1.034980059,1.034129977,1.03155005,1.034540057,1.028640032,1.032070041,1.029659986,1.028059959,1.030709982,1.028620005,1.022050023,1.010599971,1.00387001,1.001449943,1.006940007,1.007079959,1.004529953,1.010229945,1.01564002,1.016860008,1.021800041,1.020699978,
Estonia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.016600013,1.018630028,1.023290038,1.017940044,1.017740011,1.023499966,1.017099977,1.010280013,1.014490008,1.014610052,1.013090014,1.005499959,0.99397999,0.991479993,0.99229002,0.9921,0.993910015,0.997789979,1.00454998,1.01177001,1.015769958,1.021989942,1.02414,
Ethiopia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.622940004,0.657270014,0.687569976,0.697749972,0.699890018,0.735090017,0.782710016,0.814249992,0.836409986,0.862770021,0.892180026,0.901250005,0.912249982,0.922720015,0.928791225,0.931964815,0.921459973,,,,,,
European Union,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.001639962,1.002169967,1.002930045,1.001929998,1.002850056,1.00090003,1.001919985,1.00248003,1.00059998,0.999450028,0.999270022,0.998390019,0.995530009,0.993900001,0.993480027,0.993110001,1.000939965,1.001320004,1.000810027,1.000929952,0.997879982,0.998489976,0.999880016,1.002030015,
Fragile and conflict affected situations,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.806850016,0.800899982,0.806240022,0.806550026,0.807399988,0.804289997,0.811550021,0.805450022,0.823589981,0.832539976,0.839110017,0.849560022,0.859719992,0.867299974,0.874689996,0.889119983,0.893180013,0.893469989,0.901950002,0.897580028,0.901229978,0.904120028,0.902559996,,
Finland,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.073989987,1.051959991,1.047700047,1.048419952,1.054469943,1.056599975,1.052710056,1.020230055,1.020059943,1.020630002,1.022250056,1.022400022,1.023569942,1.022480011,1.021090031,1.021880031,1.054319978,1.056759953,1.057180047,1.057610035,1.05625999,1.057899952,1.051749945,1.05539,
Fiji,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.026000023,1.043110013,1.031090021,1.027840018,1.038490057,1.030740023,1.022819996,,1.039229989,1.044559956,1.031340003,1.037070036,,1.036430001,1.048570037,,1.022516608,1.020750284,1.023260236,,1.019707322,,1.017095447,1.01689589
France,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.98921001,0.990629971,0.995480001,0.996110022,0.997730017,0.999239981,1.002419949,1.001489997,0.998440027,0.995469987,0.997829974,0.997569978,0.998329997,1.00079,1.003250003,1.00304997,1.005679965,1.006850004,1.003419995,1.002500057,1.001940012,1.000800014,0.998740017,0.997049987,
Faroe Islands,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.","School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,1.019219995,1.022619963,,,,,,,,,,,,,,,,
Gabon,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.968779981,,0.972239971,,,,,,,,,,,,,,,,,,,,1.01601541,,
United Kingdom,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,1.002560019,1.003880024,1.005599976,1.005130053,1.008419991,1.019610047,1.016129971,1.016250014,1.018839955,1.012869954,1.007480025,1.004840016,0.999549985,1.003440022,0.999750018,1.024189949,1.02165997,1.016409993,,1.015390038,1.01304996,1.011420012,1.012429953,
Georgia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.990190029,,1.015020013,1.024690032,1.051370025,1.04945004,1.041100025,1.039579988,1.039530039,1.076470017,,1.019889951,,,,,1.008100033,1.01177001,1.014359951,1.010259986,1.010570049,1.012490034,1.00751996,1.007069945,1.005730033
Ghana,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.88507998,0.895910025,0.910210013,0.912970006,0.915970027,0.906120002,0.91940999,0.938839972,0.948660016,0.952310026,0.950110018,,0.958329976,0.963100016,0.967050016,0.978120029,0.981519997,0.996119976,0.996869981,1.002220035,1.008170009,1.012359977,
Gibraltar,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.800289989,0.988080025,1.00541997,,,,,,,1.011739969,1.004619956,,,,,,,0.986190021,0.989499986,,0.990459979,1.039980054,0.998589993
Guinea,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.555509984,,0.618799984,0.641359985,0.670920014,0.682900012,0.707319975,0.727469981,,0.752470016,,,0.779540002,0.774029851,0.774895191,0.785929978,0.765342057,0.768221796,,0.797581851,0.804893851,,
"Gambia, The","School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,1.018339992,1.014809966,1.001129985,,,,,,,,,,,1.153779984
Guinea-Bissau,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,0.644640028,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,0.728950024,,0.86631,,,0.906759977,,,,,,,,,,,,,,,,
Greece,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.021970034,1.022899985,1.021569967,1.030040026,1.022650003,1.002599955,0.994270027,0.979680002,0.965579987,0.961239994,0.956439972,,,0.970340014,0.980080009,0.975189984,0.973039985,0.964680016,0.959569991,0.965359986,0.97104001,0.975350022,0.976090014,0.980000019,
Grenada,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,1.022869945,0.984700024,1.01572001,0.997229993,,0.981389999,0.93046999,0.965849996,0.990369976,,,0.961449981,0.980840027,0.971180022,0.991129994,0.98672998,1.004469991,,,
Greenland,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.875100017,0.86638999,0.897010028,0.904659986,0.911300004,,0.923690021,0.930589974,0.938380003,0.946510017,0.954259992,0.964259982,0.966210008,0.966910005,0.964240015,0.959980011,0.961950004,0.958909988,0.959710002,0.962559998,0.966359973,0.97183001,0.980570018,0.994180024
Guam,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,0.977670014,,0.980989993,,,,1.005970001,,0.977810025,1.000519991,0.987680018,1.000570059,0.995859981,0.995010018,,,,,,,,,
High income,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.002120018,1.007789969,1.007769942,0.999599993,1.000949979,0.999970019,1.001129985,1.002150059,1.000560045,0.999010026,0.99800998,0.997129977,0.998000026,0.996940017,0.995670021,0.995980024,0.997919977,0.999840021,1.000800014,0.996159971,0.994449973,0.996909976,0.996800005,0.996389985,
"Hong Kong SAR, China","School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,1.004099965,0.993939996,0.99425,0.998780012,1.002930045,1.004169941,1.007329941,1.01391995,1.015349984,1.019250035
Honduras,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,1.062819958,1.073989987,1.076539993,,1.072520018,1.069030046,1.068199992,,,,,,,,,
