Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,BEL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.090000153,7.578999996,7.473999977,5.31099987,5.632999897,6.241000175,7.43900013,6.645999908,7.597000122,7.401000023,6.664000034,6.472000122,7.743000031,8.104000092,7.107999802,7.649000168,8.645000458,9.017000198,9.088999748,8.06000042,7.118000031,6.287000179,5.729000092,5.72300005,6.614999771
Benin,BEN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.534000039,1.434000015,1.294999957,1.164999962,1.04400003,0.921000004,0.933000028,0.926999986,0.949000001,0.930999994,0.913999975,0.920000017,0.938000023,0.936999977,2.431999922,2.234999895,2.03399992,1.889000058,1.799999952,1.611999989,1.41900003,1.246999979,1.243000031,1.475000024,1.488000035
Burkina Faso,BFA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.335000038,2.312000036,2.34100008,2.428999901,2.411999941,2.470000029,2.469000101,3.029000044,3.483999968,3.161000013,2.823999882,2.977999926,3.188999891,3.290999889,3.490999937,3.670000076,3.857000113,4.059999943,4.248000145,4.394000053,4.570000172,4.743999958,4.737999916,5.177000046,5.237999916
Bangladesh,BGD,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.77699995,2.946000099,3.084000111,3.250999928,3.551000118,3.818000078,4.156000137,3.743999958,3.342999935,2.65199995,3.181999922,3.671999931,4.157999992,2.993000031,3.088000059,3.153000116,3.196000099,3.151000023,3.118000031,3.086999893,3.308000088,3.319999933,3.323999882,4.112999916,3.924000025
Bulgaria,BGR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,13.89000034,12.57699966,14.05300045,16.56900024,20.86599922,18.78300095,14.20400047,12.40699959,10.29500008,8.638999939,6.518000126,5.479000092,6.993000031,10.86299992,12.2670002,13.52799988,13.90600014,12.31299973,9.774999619,8.095000267,6.346000195,5.690999985,4.539000034,5.422999859,5.47300005
Bahrain,BHR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,0.505999982,0.488000005,0.48300001,0.469999999,0.479999989,0.469000012,0.446999997,0.439999998,0.43900001,0.43900001,0.426999986,0.43599999,0.453999996,0.439999998,0.47299999,0.479000002,0.465999991,0.465999991,0.476000011,0.474000007,0.47299999,0.483999997,0.481000006,0.862999976,0.714999974
"Bahamas, The",BHS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.319999695,5.696000099,5.77699995,6.260000229,6.722000122,8.522000313,9.961999893,9.331000328,9.282999992,7.065000057,6.752999783,7.193999767,14.44400024,14.03499985,13.75899982,14.06799984,16.10899925,13.0369997,11.09000015,11.08399963,8.354000092,10.04800034,10.07499981,13.02400017,11.63199997
Bosnia and Herzegovina,BIH,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,21.42300034,22.29700089,22.9279995,23.97500038,24.375,25.375,26.19199944,27.19799995,27.94599915,28.9090004,26.70899963,21.40200043,23.11300087,25.67399979,26.09499931,26.35700035,26.5340004,25.15399933,25.75900078,22.49900055,18.8560009,17.18899918,13.63099957,13.86999989,12.6789999
Belarus,BLR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,20.19599915,16.59600067,15.22999954,14.64099979,13.84000015,13.10900021,12.45300007,11.89299965,11.01599979,10.25599957,9.409000397,8.668999672,7.552999973,7.787000179,7.715000153,7.605000019,7.585999966,7.611000061,7.447999954,7.487999916,7.244999886,5.936999798,5.114999771,4.785999775,4.731999874
Belize,BLZ,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.015000343,10.83600044,9.145000458,7.446000099,5.876999855,7.445000172,7.414000034,7.467000008,7.497000217,6.271999836,5.949999809,5.711999893,5.754000187,5.750999928,5.781000137,5.800000191,5.831999779,4.768000126,5.449999809,4.414000034,4.609000206,5.313000202,6.03399992,7.59100008,7.018000126
Bermuda,BMU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.112999916,2.10800004,2.378000021,2.25,2.298000097,2.246000051,2.227999926,2.137000084,2.117000103,2.085000038,2.099999905,2.003000021,2.470000029,2.201999903,1.922999978,1.514999986,2.003000021,1.375,2.631999969,3.101000071,3.344000101,3.444999933,3.437999964,6.456999779,4.635000229
Brazil,BRA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.074999809,7.907000065,8.81799984,8.347000122,8.49600029,8.468000412,8.940999985,7.68200016,7.992000103,7.386000156,6.881000042,6.052000046,6.971000195,5.862999916,5.493999958,5.808000088,5.681000233,5.612999916,7.248000145,10.20100021,11.31200027,10.83399963,10.15400028,11.96399975,10.80500031
Barbados,BRB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,11.41600037,8.538999557,7.947999954,7.446000099,8.010000229,8.546999931,9.527999878,8.732999802,7.440000057,7.696000099,6.44299984,6.863999844,10.14799976,10.90200043,9.791999817,10.94499969,11.66300011,11.68999958,10.63500023,7.849999905,8.465999603,8.112999916,9.541000366,11.4630003,10.73099995
Brunei Darussalam,BRN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.28000021,4.394000053,4.548999786,4.650000095,4.754000187,4.885000229,4.982999802,5.05700016,5.169000149,5.349999905,5.392000198,5.468999863,5.585000038,5.778999805,5.916999817,5.977000237,6.032999992,6.138000011,7.041999817,7.854000092,8.81799984,7.708000183,5.964000225,6.394999981,6.363999844
Bhutan,BTN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.406000018,1.399999976,1.231999993,1.177999973,1.187999964,1.263000011,1.294999957,1.888000011,2.930999994,2.631000042,2.921999931,2.753000021,2.74000001,2.763000011,1.993999958,1.914000034,2.240999937,1.978999972,1.904000044,2.20600009,2.469000101,2.743999958,2.298000097,4.263999939,3.282000065
Botswana,BWA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,19.10099983,18.70700073,16.60300064,14.77200031,15.65499973,18.54500008,21.55900002,19.67700005,17.72699928,15.75399971,14.81099987,13.88799953,13.09700012,14.69099998,15.13899994,15.56400013,15.86499977,16.37299919,16.92900085,17.13699913,17.59000015,17.99799919,18.42200089,19.57500076,19.3939991
Central African Republic,CAF,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.039000034,4.975999832,4.936999798,4.879000187,4.801000118,4.806000233,4.775000095,4.712999821,4.663000107,4.611999989,4.568999767,4.512000084,4.528999805,4.68200016,4.642000198,4.638999939,4.696000099,4.855999947,5.037000179,5.068999767,5.131999969,5.113999844,5.175000191,5.852000237,5.797999859
Canada,CAN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.25,8.522000313,7.827000141,6.945000172,7.528999805,8.128000259,7.933000088,7.484000206,7.017000198,6.521999836,6.383999825,6.572999954,9.534999847,8.795000076,7.959000111,7.71600008,7.497000217,7.377999783,7.460999966,7.679999828,6.78000021,6.138000011,6.028999805,9.526000023,7.68200016
Central Europe and the Baltics,CEB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.471397909,8.434733001,10.22267784,11.98022949,12.88666944,13.49140551,12.68578313,12.79552065,11.53944393,9.696769319,7.488774911,6.301700715,8.515704727,9.9656336,9.70927865,9.846617371,9.890546921,8.77916338,7.749114696,6.53175872,5.329276511,4.334851234,3.722902866,4.337226697,4.488163098
Switzerland,CHE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.282999992,3.163000107,2.66899991,2.292999983,1.700999975,2.776000023,3.812000036,3.947999954,3.89199996,3.397000074,2.917000055,2.819999933,3.763000011,4.480000019,4.079999924,4.278999805,4.602000237,4.690999985,4.702000141,4.84100008,4.572000027,4.366000175,4.109000206,4.660999775,4.913000107
Channel Islands,CHI,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.563000202,6.080999851,5.782000065,5.256999969,5.034999847,5.415999889,5.782999992,5.946000099,5.804999828,5.488999844,5.231999874,5.428999901,7.177999973,7.518000126,7.681000233,8.55300045,9.104000092,8.913999557,8.416000366,7.859000206,7.22300005,6.635000229,6.506999969,7.614999771,7.225999832
Chile,CHL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.888999939,6.263999939,10.14700031,9.451000214,9.595000267,9.322999954,8.553999901,8.553999901,7.640999794,7.418000221,6.956999779,7.517000198,9.970000267,7.436999798,6.302999973,5.625,5.540999889,6.329999924,6.046999931,6.364999771,6.604000092,6.676000118,6.739999771,10.96899986,9.149000168
China,CHN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.58100009,3.592000008,3.602999926,3.614000082,4.211999893,4.697999954,5.073999882,4.97300005,5.005000114,4.903999805,4.81400013,5.078000069,5.221000195,5.008999825,5.032000065,5.065999985,5.089000225,5.123000145,5.145999908,5.047999859,4.948999882,4.772999763,5.051000118,5.538000107,5.040999889
Cote d'Ivoire,CIV,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.926000118,3.976000071,4.231999874,4.475999832,4.728000164,4.96600008,5.223999977,5.34800005,5.607999802,5.813000202,6.071000099,6.245999813,6.498000145,6.677999973,7.132999897,7.138999939,3.601999998,2.930999994,2.259000063,1.57099998,2.845000029,2.394000053,1.940999985,2.226999998,2.292999983
Cameroon,CMR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.220999718,8.954000473,8.697999954,8.451999664,8.173999786,7.177999973,6.164000034,5.143000126,4.205999851,3.420000076,2.647000074,2.907999992,3.161999941,3.414999962,3.33100009,3.240999937,3.157999992,3.072999954,3.088000059,3.112999916,3.137000084,3.148000002,3.167000055,3.53399992,3.592999935
"Congo, Dem. Rep.",COD,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.51699996,3.502000093,3.52699995,3.551000118,3.529000044,3.505000114,3.496000051,3.496000051,3.506000042,3.769000053,4.020999908,4.278999805,4.56400013,4.789000034,5.048999786,5.306000233,5.252999783,5.205999851,5.191999912,5.195000172,5.147999763,5.097000122,5.078000069,5.90199995,5.769000053
"Congo, Rep.",COG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,18.95800018,18.8579998,18.91600037,18.72599983,18.74300003,18.69599915,18.7140007,18.63599968,18.53300095,18.58399963,18.85499954,18.71899986,18.69400024,18.77099991,18.94300079,18.88400078,19.10000038,19.04100037,19.24900055,19.40999985,19.35899925,19.41200066,19.38299942,21.40800095,20.87299919
Colombia,COL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.980999947,12.74199963,17.57999992,17.41300011,12.06000042,12.6079998,11.04899979,10.74699974,9.130000114,8.649999619,8.326999664,8.553999901,9.074000359,8.657999992,7.931000233,7.566999912,7.087999821,6.732999802,6.379000187,6.791999817,6.881999969,7.105999947,7.894000053,12.25,10.92300034
Comoros,COM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.631000042,4.618999958,4.570000172,4.434999943,4.480999947,4.438000202,4.396999836,4.354000092,4.573999882,4.808000088,5.06400013,5.262000084,5.508999825,5.739999771,5.975999832,6.230000019,6.453000069,6.734000206,6.749000072,6.715000153,6.709000111,6.712999821,6.743000031,7.722000122,7.545000076
Cabo Verde,CPV,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.8760004,10.81999969,10.78800011,10.7159996,10.77799988,10.70199966,10.6619997,10.55700016,10.53499985,10.47200012,10.35499954,10.375,10.38899994,10.30700016,10.50199986,10.74699974,10.96899986,11.18999958,11.40600014,11.59000015,11.81999969,12.66300011,12.68099976,15.52799988,14.35299969
Costa Rica,CRI,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.906000137,4.230999947,4.886000156,4.323999882,5.140999794,5.573999882,5.789000034,5.402999878,5.028999805,4.264999866,3.190000057,4.133999825,6.577000141,6.012000084,8.038000107,7.961999893,7.196000099,7.159999847,7.126999855,6.797999859,6.479000092,7.447999954,8.505999565,13.19499969,11.71500015
Caribbean small states,CSS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.863175005,8.439274023,8.334474979,8.008161676,7.633564453,7.596472411,7.732397943,7.131706491,6.811202022,6.177226867,5.866398027,5.835800657,7.146945621,6.945785186,6.957825127,7.312767236,7.598989827,7.118104147,6.901222618,6.980055956,6.444503064,6.089121269,5.886967167,7.623298848,6.983590353
Cuba,CUB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.863999844,4.515999794,4.386000156,3.878000021,3.154000044,2.578000069,1.725000024,1.649000049,1.799000025,1.725999951,1.741000056,1.343999982,1.470000029,2.369999886,2.976000071,3.36500001,3.130000114,2.430999994,2.286000013,1.886999965,1.738999963,1.623000026,1.200000048,1.286999941,1.393000007
Curacao,CUW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.703999996,2.75999999,4.278999805,3.279000044,2.676000118,2.632999897,3.799999952,3.500999928,4.413000107,3.881000042,3.404000044,3.188999891,5.270999908,6.133999825,8.05300045,12.4289999,16.47500038,17,15.03499985,12.62300014,10.86600018,8.043000221,6.282000065,7.566999912,7.065000057
Czechia,CZE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.585999966,4.578000069,7.164999962,7.336999893,6.693999767,5.800000191,5.856999874,7.065000057,6.459000111,5.81400013,4.222000122,3.457999945,5.84499979,6.379000187,5.800000191,6.020999908,5.897999763,5.103000164,4.236000061,3.378999949,2.338999987,1.789999962,1.717000008,2.230999947,2.312000036
Germany,DEU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.305000305,9.288999557,8.555999756,7.642000198,7.765999794,8.699000359,10.18500042,11.25800037,11.39700031,10.31400013,8.545000076,7.414999962,8.102999687,7.369999886,6.027999878,5.551000118,5.498000145,5.281000137,4.967999935,4.449999809,4.127999783,3.789999962,3.494999886,4.224999905,3.911000013
Djibouti,DJI,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,26.69000053,26.48800087,26.24699974,26.10400009,25.89699936,25.66900063,25.4659996,25.26600075,25.04500008,24.76499939,24.51000023,24.23800087,24.06500053,23.75600052,23.46299934,23.28300095,23.05400085,22.78499985,22.5359993,22.32900047,22.11199951,22.22400093,22.40500069,24.15099907,23.84799957
Dominica,DMA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.517000198,3.851999998,4.485000134,4.044000149,3.618999958,4.232999802,5.092999935,4.994999886,4.436999798,3.335000038,3.447999954,3.338999987,7.068999767,8.626000404,7.90199995,7.804999828,7.118000031,6.736000061,6.059999943,5.639999866,5.636000156,4.936999798,4.798999786,5.334000111,4.993999958
Dominican Republic,DOM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.290999889,4.28000021,4.256000042,4.238999844,5.239999771,4.978000164,5.309999943,4.363999844,4.906000137,3.881999969,3.84800005,3.256000042,4.153999805,4.144000053,4.721000195,5.181000233,5.381000042,4.868000031,5.507999897,5.052000046,4.335999966,3.723999977,4.011000156,4.227000237,4.434999943
Algeria,DZA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,25.31900024,26.55999947,28.27099991,29.77799988,27.21699905,25.70999908,23.4260006,17.5529995,14.92000008,11.73099995,12.80300045,10.11800003,8.593999863,8.13599968,8.430000305,9.602000237,8.319000244,9.020999908,9.940999985,8.206999779,8.345999718,8.442000389,8.531999588,10.21100044,9.630000114
East Asia & Pacific (excluding high income),EAP,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.411442537,3.604412418,3.705078092,3.655266939,4.056559349,4.432622833,4.669937695,4.65251711,4.735256494,4.647736424,4.599841652,4.75558302,4.755325674,4.456134725,4.431501002,4.373973035,4.397391541,4.402780178,4.471419913,4.401064032,4.256490878,4.136970976,4.23073963,4.732984001,4.470986952
Early-demographic dividend,EAR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.238723052,6.463851285,6.736365016,6.754919928,6.893189025,7.137491613,7.122557942,7.007814148,7.049696006,6.794516745,6.7163913,6.627326014,6.792863903,6.608007401,6.494818429,6.419630678,6.448264844,6.400372133,6.47905585,6.481152887,6.350472876,6.351339109,5.896232596,8.13120188,6.89728684
East Asia & Pacific,EAS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.440577051,3.781149883,3.90165823,3.793821778,4.179679259,4.532303123,4.732708924,4.666477629,4.709370209,4.605891026,4.524755978,4.672130198,4.799444753,4.518440759,4.436111729,4.363803287,4.37206649,4.350356399,4.41303223,4.337522733,4.183517843,4.057349606,4.128586878,4.632968628,4.376735531
Europe & Central Asia (excluding high income),ECA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.78468047,11.83894384,11.98753691,10.63175896,10.25242475,9.879568088,9.750976085,9.425905674,8.814306454,8.344896872,7.65334261,7.623409191,9.761819749,8.9510656,8.206291793,7.541214139,7.527464243,7.865802915,7.837512712,7.881165793,7.568370293,7.195201565,7.428714615,7.852255057,7.155178641
Europe & Central Asia,ECS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.791286481,9.885736312,9.864774325,9.048214526,8.586247654,8.751924948,8.850351093,8.850342106,8.429871265,7.801730365,6.951545444,6.942055849,9.204851403,9.203033918,8.857789594,9.064668018,9.290864772,9.056178895,8.59829595,8.097403889,7.430544209,6.810755766,6.606662954,7.047441257,6.745772508
Ecuador,ECU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.596999884,3.644000053,4.171000004,3.851000071,3.657000065,4.447999954,5.356999874,4.538000107,3.184999943,3.025000095,2.640000105,3.214999914,3.789000034,3.536000013,2.943000078,2.857000113,2.709000111,3.068000078,3.023999929,3.723999977,3.068000078,2.927999973,3.257999897,5.277999878,3.65199995
"Egypt, Arab Rep.",EGY,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.178999901,4.877999783,4.889999866,5.072000027,5.600999832,6.278999805,7.522999763,5.855999947,7.206999779,6.633999825,5.776000023,5.488999844,5,4.738999844,8.732000351,9.206999779,9.776000023,9.708000183,9.354000092,8.845000267,8.171999931,6.77699995,4.756000042,5.918000221,5.576000214
Euro area,EMU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.998867783,9.47821391,8.796657494,7.904705864,7.158590015,7.552941498,8.03463603,8.340934781,8.139596457,7.414077515,6.60111418,6.841743905,9.395494083,9.920424914,9.900811021,11.14708145,11.81333093,11.43839628,10.6645586,9.700928516,8.705013018,7.82592543,7.200124051,7.542522822,7.362846646
Eritrea,ERI,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.06099987,5.106999874,5.152999878,5.166999817,5.092000008,5.085999966,5.013999939,4.910999775,4.890999794,4.893000126,4.893000126,4.831999779,4.831999779,4.980000019,4.899000168,4.831999779,4.824999809,4.916999817,5.063000202,5.097000122,5.150000095,5.09100008,5.106999874,6.697000027,6.104000092
Spain,ESP,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,16.11899948,13.6619997,10.79100037,9.491999626,7.353000164,7.866000175,8.272000313,8.335000038,7.133999825,6.352000237,6.409999847,10.05000019,17.64500046,19.57099915,21.04299927,24.58499908,25.59900093,23.59799957,20.77700043,18.12800026,15.65799999,13.72000027,12.44999981,13.86999989,13.05599976
